candidate,date,start,end,duration_minutes,frames,selected,split
20220222T003626-014128,2022-02-22,2022-02-22T00:36:26+00:00,2022-02-22T01:41:28+00:00,65.033,30,no,
20220222T020112-031504,2022-02-22,2022-02-22T02:01:12+00:00,2022-02-22T03:15:04+00:00,73.867,30,yes,training
20220222T032303-041049,2022-02-22,2022-02-22T03:23:03+00:00,2022-02-22T04:10:49+00:00,47.767,30,yes,training
20220222T043956-053940,2022-02-22,2022-02-22T04:39:56+00:00,2022-02-22T05:39:40+00:00,59.733,30,yes,training
20220222T063607-074305,2022-02-22,2022-02-22T06:36:07+00:00,2022-02-22T07:43:05+00:00,66.967,30,yes,training
20220222T080356-090452,2022-02-22,2022-02-22T08:03:56+00:00,2022-02-22T09:04:52+00:00,60.933,30,yes,training
20220222T093623-103521,2022-02-22,2022-02-22T09:36:23+00:00,2022-02-22T10:35:21+00:00,58.967,30,no,
20220222T103929-113745,2022-02-22,2022-02-22T10:39:29+00:00,2022-02-22T11:37:45+00:00,58.267,30,yes,training
20220223T101750-111818,2022-02-23,2022-02-23T10:17:50+00:00,2022-02-23T11:18:18+00:00,60.467,30,yes,training
20220223T112658-123804,2022-02-23,2022-02-23T11:26:58+00:00,2022-02-23T12:38:04+00:00,71.1,30,yes,training
20220223T131949-143734,2022-02-23,2022-02-23T13:19:49+00:00,2022-02-23T14:37:34+00:00,77.75,30,yes,training
20220223T152350-164038,2022-02-23,2022-02-23T15:23:50+00:00,2022-02-23T16:40:38+00:00,76.8,30,yes,training
20220223T165629-180846,2022-02-23,2022-02-23T16:56:29+00:00,2022-02-23T18:08:46+00:00,72.283,30,yes,training
20220223T181047-191238,2022-02-23,2022-02-23T18:10:47+00:00,2022-02-23T19:12:38+00:00,61.85,30,yes,training
20220226T224700-234638,2022-02-26,2022-02-26T22:47:00+00:00,2022-02-26T23:46:38+00:00,59.633,30,yes,training
20220306T174711-184642,2022-03-06,2022-03-06T17:47:11+00:00,2022-03-06T18:46:42+00:00,59.517,30,yes,training
20220306T185622-201333,2022-03-06,2022-03-06T18:56:22+00:00,2022-03-06T20:13:33+00:00,77.183,30,no,
20220306T204327-215446,2022-03-06,2022-03-06T20:43:27+00:00,2022-03-06T21:54:46+00:00,71.317,30,yes,training
20220306T215649-230604,2022-03-06,2022-03-06T21:56:49+00:00,2022-03-06T23:06:04+00:00,69.25,30,no,
20220307T004634-015554,2022-03-07,2022-03-07T00:46:34+00:00,2022-03-07T01:55:54+00:00,69.333,30,yes,training
20220307T022617-033144,2022-03-07,2022-03-07T02:26:17+00:00,2022-03-07T03:31:44+00:00,65.45,30,yes,training
20220307T034504-044644,2022-03-07,2022-03-07T03:45:04+00:00,2022-03-07T04:46:44+00:00,61.667,30,yes,training
20220307T051933-063930,2022-03-07,2022-03-07T05:19:33+00:00,2022-03-07T06:39:30+00:00,79.95,30,yes,training
20220318T003515-015212,2022-03-18,2022-03-18T00:35:15+00:00,2022-03-18T01:52:12+00:00,76.95,30,yes,training
20220318T020532-032116,2022-03-18,2022-03-18T02:05:32+00:00,2022-03-18T03:21:16+00:00,75.733,30,yes,training
20220318T032345-043817,2022-03-18,2022-03-18T03:23:45+00:00,2022-03-18T04:38:17+00:00,74.533,30,yes,training
20220318T050045-061422,2022-03-18,2022-03-18T05:00:45+00:00,2022-03-18T06:14:22+00:00,73.617,30,no,
20220318T061947-072611,2022-03-18,2022-03-18T06:19:47+00:00,2022-03-18T07:26:11+00:00,66.4,30,yes,training
20220318T075832-090045,2022-03-18,2022-03-18T07:58:32+00:00,2022-03-18T09:00:45+00:00,62.217,30,yes,training
20220318T092752-102311,2022-03-18,2022-03-18T09:27:52+00:00,2022-03-18T10:23:11+00:00,55.317,30,yes,training
20220318T102817-115428,2022-03-18,2022-03-18T10:28:17+00:00,2022-03-18T11:54:28+00:00,86.183,30,no,
20220321T215858-231624,2022-03-21,2022-03-21T21:58:58+00:00,2022-03-21T23:16:24+00:00,77.433,30,no,
20220322T002351-012059,2022-03-22,2022-03-22T00:23:51+00:00,2022-03-22T01:20:59+00:00,57.133,30,no,
20220322T013858-023553,2022-03-22,2022-03-22T01:38:58+00:00,2022-03-22T02:35:53+00:00,56.917,30,yes,training
20220322T024617-040433,2022-03-22,2022-03-22T02:46:17+00:00,2022-03-22T04:04:33+00:00,78.267,30,yes,training
20220330T043342-051924,2022-03-30,2022-03-30T04:33:42+00:00,2022-03-30T05:19:24+00:00,45.7,30,yes,training
20220330T052113-060829,2022-03-30,2022-03-30T05:21:13+00:00,2022-03-30T06:08:29+00:00,47.267,30,yes,training
20220330T062314-071040,2022-03-30,2022-03-30T06:23:14+00:00,2022-03-30T07:10:40+00:00,47.433,30,yes,training
20220330T073038-081958,2022-03-30,2022-03-30T07:30:38+00:00,2022-03-30T08:19:58+00:00,49.333,30,yes,training
20220330T085030-094215,2022-03-30,2022-03-30T08:50:30+00:00,2022-03-30T09:42:15+00:00,51.75,30,yes,training
20220330T095118-104111,2022-03-30,2022-03-30T09:51:18+00:00,2022-03-30T10:41:11+00:00,49.883,30,yes,training
20220330T110310-115215,2022-03-30,2022-03-30T11:03:10+00:00,2022-03-30T11:52:15+00:00,49.083,30,yes,training
20220330T115603-124526,2022-03-30,2022-03-30T11:56:03+00:00,2022-03-30T12:45:26+00:00,49.383,30,yes,training
20220330T125647-134221,2022-03-30,2022-03-30T12:56:47+00:00,2022-03-30T13:42:21+00:00,45.567,30,no,
20220330T144536-160751,2022-03-30,2022-03-30T14:45:36+00:00,2022-03-30T16:07:51+00:00,82.25,30,yes,training
20220411T225256-235918,2022-04-11,2022-04-11T22:52:56+00:00,2022-04-11T23:59:18+00:00,66.367,30,yes,training
20220412T045322-055055,2022-04-12,2022-04-12T04:53:22+00:00,2022-04-12T05:50:55+00:00,57.55,30,yes,training
20220412T162608-175555,2022-04-12,2022-04-12T16:26:08+00:00,2022-04-12T17:55:55+00:00,89.783,30,yes,training
20220412T202519-212905,2022-04-12,2022-04-12T20:25:19+00:00,2022-04-12T21:29:05+00:00,63.767,30,yes,training
20220413T030538-041817,2022-04-13,2022-04-13T03:05:38+00:00,2022-04-13T04:18:17+00:00,72.65,30,yes,training
20220413T050140-055644,2022-04-13,2022-04-13T05:01:40+00:00,2022-04-13T05:56:44+00:00,55.067,30,no,
20220413T095240-111716,2022-04-13,2022-04-13T09:52:40+00:00,2022-04-13T11:17:16+00:00,84.6,30,yes,training
20220413T112456-123939,2022-04-13,2022-04-13T11:24:56+00:00,2022-04-13T12:39:39+00:00,74.717,30,yes,training
20220413T124159-135107,2022-04-13,2022-04-13T12:41:59+00:00,2022-04-13T13:51:07+00:00,69.133,30,no,
20220413T144118-154140,2022-04-13,2022-04-13T14:41:18+00:00,2022-04-13T15:41:40+00:00,60.367,30,no,
20220413T163748-173728,2022-04-13,2022-04-13T16:37:48+00:00,2022-04-13T17:37:28+00:00,59.667,30,yes,training
20220416T015510-025534,2022-04-16,2022-04-16T01:55:10+00:00,2022-04-16T02:55:34+00:00,60.4,30,no,
20220416T031259-041535,2022-04-16,2022-04-16T03:12:59+00:00,2022-04-16T04:15:35+00:00,62.6,30,yes,training
20220416T042137-051703,2022-04-16,2022-04-16T04:21:37+00:00,2022-04-16T05:17:03+00:00,55.433,30,no,
20220416T052828-062647,2022-04-16,2022-04-16T05:28:28+00:00,2022-04-16T06:26:47+00:00,58.317,30,yes,training
20220416T064035-073900,2022-04-16,2022-04-16T06:40:35+00:00,2022-04-16T07:39:00+00:00,58.417,30,no,
20220416T074516-084632,2022-04-16,2022-04-16T07:45:16+00:00,2022-04-16T08:46:32+00:00,61.267,30,yes,training
20220416T085714-095724,2022-04-16,2022-04-16T08:57:14+00:00,2022-04-16T09:57:24+00:00,60.167,30,no,
20220416T101113-111033,2022-04-16,2022-04-16T10:11:13+00:00,2022-04-16T11:10:33+00:00,59.333,30,yes,training
20220416T112239-125146,2022-04-16,2022-04-16T11:22:39+00:00,2022-04-16T12:51:46+00:00,89.117,30,no,
20220420T222846-234545,2022-04-20,2022-04-20T22:28:46+00:00,2022-04-20T23:45:45+00:00,76.983,30,yes,training
20220421T001141-010303,2022-04-21,2022-04-21T00:11:41+00:00,2022-04-21T01:03:03+00:00,51.367,30,yes,training
20220421T011014-023101,2022-04-21,2022-04-21T01:10:14+00:00,2022-04-21T02:31:01+00:00,80.783,30,yes,training
20220423T230319-235827,2022-04-23,2022-04-23T23:03:19+00:00,2022-04-23T23:58:27+00:00,55.133,30,yes,training
20220424T000244-010139,2022-04-24,2022-04-24T00:02:44+00:00,2022-04-24T01:01:39+00:00,58.917,30,yes,training
20220424T012734-022534,2022-04-24,2022-04-24T01:27:34+00:00,2022-04-24T02:25:34+00:00,58.0,30,no,
20220424T022724-032222,2022-04-24,2022-04-24T02:27:24+00:00,2022-04-24T03:22:22+00:00,54.967,30,no,
20220424T044743-054629,2022-04-24,2022-04-24T04:47:43+00:00,2022-04-24T05:46:29+00:00,58.767,30,yes,training
20220424T064729-074221,2022-04-24,2022-04-24T06:47:29+00:00,2022-04-24T07:42:21+00:00,54.867,30,yes,training
20220424T084212-094144,2022-04-24,2022-04-24T08:42:12+00:00,2022-04-24T09:41:44+00:00,59.533,30,yes,training
20220424T103817-112428,2022-04-24,2022-04-24T10:38:17+00:00,2022-04-24T11:24:28+00:00,46.183,30,yes,training
