example,split,start,end,duration_minutes,frames
KTLX-20220222T020112-031504-001,training,2022-02-22T02:01:12+00:00,2022-02-22T03:15:04+00:00,73.867,30
KTLX-20220222T032303-041049-002,training,2022-02-22T03:23:03+00:00,2022-02-22T04:10:49+00:00,47.767,30
KTLX-20220222T043956-053940-003,training,2022-02-22T04:39:56+00:00,2022-02-22T05:39:40+00:00,59.733,30
KTLX-20220222T063607-074305-004,training,2022-02-22T06:36:07+00:00,2022-02-22T07:43:05+00:00,66.967,30
KTLX-20220222T080356-090452-005,training,2022-02-22T08:03:56+00:00,2022-02-22T09:04:52+00:00,60.933,30
KTLX-20220222T103929-113745-006,training,2022-02-22T10:39:29+00:00,2022-02-22T11:37:45+00:00,58.267,30
KTLX-20220223T101750-111818-007,training,2022-02-23T10:17:50+00:00,2022-02-23T11:18:18+00:00,60.467,30
KTLX-20220223T112658-123804-008,training,2022-02-23T11:26:58+00:00,2022-02-23T12:38:04+00:00,71.1,30
KTLX-20220223T131949-143734-009,training,2022-02-23T13:19:49+00:00,2022-02-23T14:37:34+00:00,77.75,30
KTLX-20220223T152350-164038-010,training,2022-02-23T15:23:50+00:00,2022-02-23T16:40:38+00:00,76.8,30
KTLX-20220223T165629-180846-011,training,2022-02-23T16:56:29+00:00,2022-02-23T18:08:46+00:00,72.283,30
KTLX-20220223T181047-191238-012,training,2022-02-23T18:10:47+00:00,2022-02-23T19:12:38+00:00,61.85,30
KTLX-20220226T224700-234638-013,training,2022-02-26T22:47:00+00:00,2022-02-26T23:46:38+00:00,59.633,30
KTLX-20220306T174711-184642-014,training,2022-03-06T17:47:11+00:00,2022-03-06T18:46:42+00:00,59.517,30
KTLX-20220306T204327-215446-015,training,2022-03-06T20:43:27+00:00,2022-03-06T21:54:46+00:00,71.317,30
KTLX-20220307T004634-015554-016,training,2022-03-07T00:46:34+00:00,2022-03-07T01:55:54+00:00,69.333,30
KTLX-20220307T022617-033144-017,training,2022-03-07T02:26:17+00:00,2022-03-07T03:31:44+00:00,65.45,30
KTLX-20220307T034504-044644-018,training,2022-03-07T03:45:04+00:00,2022-03-07T04:46:44+00:00,61.667,30
KTLX-20220307T051933-063930-019,training,2022-03-07T05:19:33+00:00,2022-03-07T06:39:30+00:00,79.95,30
KTLX-20220318T003515-015212-020,training,2022-03-18T00:35:15+00:00,2022-03-18T01:52:12+00:00,76.95,30
KTLX-20220318T020532-032116-021,training,2022-03-18T02:05:32+00:00,2022-03-18T03:21:16+00:00,75.733,30
KTLX-20220318T032345-043817-022,training,2022-03-18T03:23:45+00:00,2022-03-18T04:38:17+00:00,74.533,30
KTLX-20220318T061947-072611-023,training,2022-03-18T06:19:47+00:00,2022-03-18T07:26:11+00:00,66.4,30
KTLX-20220318T075832-090045-024,training,2022-03-18T07:58:32+00:00,2022-03-18T09:00:45+00:00,62.217,30
KTLX-20220318T092752-102311-025,training,2022-03-18T09:27:52+00:00,2022-03-18T10:23:11+00:00,55.317,30
KTLX-20220322T013858-023553-026,training,2022-03-22T01:38:58+00:00,2022-03-22T02:35:53+00:00,56.917,30
KTLX-20220322T024617-040433-027,training,2022-03-22T02:46:17+00:00,2022-03-22T04:04:33+00:00,78.267,30
KTLX-20220330T043342-051924-028,training,2022-03-30T04:33:42+00:00,2022-03-30T05:19:24+00:00,45.7,30
KTLX-20220330T052113-060829-029,training,2022-03-30T05:21:13+00:00,2022-03-30T06:08:29+00:00,47.267,30
KTLX-20220330T062314-071040-030,training,2022-03-30T06:23:14+00:00,2022-03-30T07:10:40+00:00,47.433,30
KTLX-20220330T073038-081958-031,training,2022-03-30T07:30:38+00:00,2022-03-30T08:19:58+00:00,49.333,30
KTLX-20220330T085030-094215-032,training,2022-03-30T08:50:30+00:00,2022-03-30T09:42:15+00:00,51.75,30
KTLX-20220330T095118-104111-033,training,2022-03-30T09:51:18+00:00,2022-03-30T10:41:11+00:00,49.883,30
